Kepala Dinas	51
Kepala Bidang Humas	51
Kepala Bidang Pengadaan Logistik	51
Kepala Bidang Pengaduan dan Layanan Masyarakat	51
Kepala Bidang Teknologi Informasi	51
Kepala Bidang Kesekretariatan Umum	51
Kepala Bidang Keuangan	51
Kepala Bidang Perencanaan dan Keuangan	51
Kepala Divisi Umum dan Kepegawaian	51
Kepala Divisi Sarana dan Prasarana	51
Kepala Divisi Pemberdayaan Masyarakat	51
Kepala Divisi Tata Tertib dan Pengawasan	51
Seksi Penyuluhan	51
Seksi Pengawasan dan Pengendalian	51
Seksi Pengembangan dan Penelitian	51
Seksi Kerjasama dan Promosi	51
Seksi Ketertiban Hukum	87
Seksi Pengawasan dan Evaluasi	126
Staf Bidang	101
Staf Divisi	103
